,name,votes,rate,cost,cuisines
574,Asia Kitchen By Mainland China,2224.8947368421054,4.9,1500,"Asian, Chinese, Thai, Momos"
1220,Byg Brewski Brewing Company,16588.5,4.9,1600,"Continental, North Indian, Italian, South Indian, Finger Food"
5696,Punjab Grill,1380.0,4.87,2000,North Indian
829,Belgian Waffle Factory,858.0,4.84,400,Desserts
2499,Flechazo,4992.666666666667,4.8,1400,"Asian, Mediterranean, North Indian, BBQ"
7721,The Pizza Bakery,1753.8333333333333,4.8,1200,"Italian, Pizza, Beverages"
5265,O.G. Variar & Sons,1158.5,4.8,200,"Bakery, Desserts"
126,AB's - Absolute Barbecues,3757.304347826087,4.79,1568,"European, Mediterranean, North Indian, BBQ"
926,Biergarten,2656.2,4.77,2200,"Continental, European, BBQ, Chinese, Asian"
768,Barbecue by Punjab Grill,1341.5,4.75,1300,BBQ
